field_id,description,category_name,dataset_name,alphaCount,userCount,source,type
fnd6_cshtrq,Common Shares Traded - Quarter,Fundamental,Company Fundamental Data for Equity,1156,344,CSV,MATRIX
fnd6_newqeventv110_pstknq,Preferred/Preference Stock - Nonredeemable,Fundamental,Company Fundamental Data for Equity,1153,781,CSV,VECTOR
fnd6_optex,Options Exercisable (000),Fundamental,Company Fundamental Data for Equity,1147,383,CSV,MATRIX
pv13_rha2_min5_sector,grouping fields,Price Volume,Relationship Data for Equity,1142,588,CSV,GROUP
news_high_exc_stddev,"(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days",News,US News Data,1130,416,CSV,MATRIX
pcr_oi_1080,Ratio of put open interest to call open interest on a stock's options with expiration 1080 days in the future.,Option,Options Analytics,1121,531,CSV,MATRIX
rp_ess_mna,Event sentiment score of mergers and acquisitions-related news,News,Ravenpack News Data,1118,516,CSV+PDF,MATRIX
fnd6_newa1v1300_dltt,Long-Term Debt - Total,Fundamental,Company Fundamental Data for Equity,1102,903,CSV,MATRIX
pv13_h_min2_focused_sector,Grouping fields for top 200,Price Volume,Relationship Data for Equity,1099,559,CSV,GROUP
news_mins_5_chg,The minimum of L or S above for 5-minute bucket,News,US News Data,1092,310,CSV,MATRIX
fnd6_newa2v1300_oiadp,Operating Income After Depreciation,Fundamental,Company Fundamental Data for Equity,1091,636,CSV,MATRIX
rp_css_revenue,Composite sentiment score of revenue news,News,Ravenpack News Data,1080,504,CSV,MATRIX
systematic_risk_last_60_days,Systematic Risk Last 60 Days,Model,Systematic Risk Metrics,1069,644,CSV,MATRIX
fnd6_sstk,Sale of Common and Preferred Stock,Fundamental,Company Fundamental Data for Equity,1068,380,CSV,MATRIX
fnd6_fic,identifies the country in which the company is incorporated or legally registered,Fundamental,Company Fundamental Data for Equity,1065,475,CSV,MATRIX
pv13_h_min22_1000_sector,Grouping fields for top 1000,Price Volume,Relationship Data for Equity,1060,388,CSV,GROUP
unsystematic_risk_last_30_days,Unsystematic Risk Last 30 Days - Relative to SPY,Model,Systematic Risk Metrics,1059,405,CSV,MATRIX
fnd6_newqeventv110_prcraq,Repurchase Price - Average per share,Fundamental,Company Fundamental Data for Equity,1056,648,CSV,VECTOR
fnd6_cptnewqv1300_oiadpq,Operating Income After Depreciation - Quarterly,Fundamental,Company Fundamental Data for Equity,1053,548,CSV,MATRIX
pcr_oi_90,Ratio of put open interest to call open interest on a stock's options with expiration 90 days in the future.,Option,Options Analytics,1053,381,CSV,MATRIX
pv13_revere_zipcode,Zip code,Price Volume,Relationship Data for Equity,1052,367,CSV,MATRIX
anl4_basicconltv110_pu,The number of upper estimations,Analyst,Analyst Estimate Data for Equity,1047,748,CSV,VECTOR
news_mins_5_pct_up,Number of minutes that elapsed before price went up 5 percentage points,News,US News Data,1043,506,CSV,MATRIX
implied_volatility_mean_1080,At-the-money option-implied volatility mean for 3 years,Option,Volatility Data,1042,530,CSV,MATRIX
systematic_risk_last_90_days,Systematic Risk Last 90 Days,Model,Systematic Risk Metrics,1042,585,CSV,MATRIX
fnd6_newa1v1300_dlc,Debt in Current Liabilities - Total,Fundamental,Company Fundamental Data for Equity,1041,635,CSV,MATRIX
news_eod_vwap,Volume weighted average price between the time of news and the end of the session,News,US News Data,1031,566,CSV,MATRIX
news_max_dn_ret,Percent change from the price at the time of the news to the after the news low,News,US News Data,1028,494,CSV,MATRIX
fnd6_dc,Deferred Charges,Fundamental,Company Fundamental Data for Equity,1025,266,CSV,MATRIX
fnd6_xad,Advertising Expense,Fundamental,Company Fundamental Data for Equity,1007,469,CSV,MATRIX
fnd6_newqv1300_intanoq,Other Intangibles,Fundamental,Company Fundamental Data for Equity,1003,209,CSV,MATRIX
news_session_range_pct,(Session High Price - Session Low Price) / Session Low Price.,News,US News Data,661,402,PDF,MATRIX
nws12_prez_5p,The minimum of L or S above for 5-minute bucket,News,US News Data,577,426,PDF,VECTOR
nws12_prez_provider,index of name of the news provider,News,US News Data,550,248,PDF,VECTOR
pv13_revere_level,Level of the sector within the hierarchy,Price Volume,Relationship Data for Equity,545,322,PDF,MATRIX
scl12_alltype_sentvec,sentiment,Social Media,Sentiment Data for Equity,500,269,PDF,VECTOR
scl12_alltype_typevec,instrument type index,Social Media,Sentiment Data for Equity,427,217,PDF,VECTOR
rp_nip_mna,News impact projection of mergers and acquisitions-related news,News,Ravenpack News Data,424,176,PDF,MATRIX
pv13_revere_parent,Code of parent sector,Price Volume,Relationship Data for Equity,407,295,PDF,MATRIX
nws12_prez_result2,Percent change between the price at the time of the news release to the price at the close of the session,News,US News Data,319,241,PDF,VECTOR
anl4_dez1afv4_est,Estimation value,Analyst,Analyst Estimate Data for Equity,173,126,PDF,VECTOR
nws12_mainz_4s,Number of minutes that elapsed before price went down 4 percentage points,News,US News Data,164,106,PDF,VECTOR
nws12_prez_prevday,Percent change between the previous day's open and close,News,US News Data,126,79,PDF,VECTOR
anl4_basicconltv110_median,Median of estimations,Analyst,Analyst Estimate Data for Equity,106,62,PDF,VECTOR
nws12_prez_1l,Number of minutes that elapsed before price went up 1 percentage point,News,US News Data,105,82,PDF,VECTOR
nws12_mainz_atrratio,Ratio of Today Range to 20-day average true range,News,US News Data,84,36,PDF,VECTOR
nws12_prez_curr_vol,Current day's session volume,News,US News Data,59,49,PDF,VECTOR
nws12_mainz_result1,Percent change between the price at the time of the news release and the price at the close of the session,News,US News Data,49,15,PDF,VECTOR
nws12_prez_90_min,The percent change in price in the first 90 minutes following the news release,News,US News Data,39,35,PDF,VECTOR
nws12_prez_120_min,The percent change in price in the first 120 minutes following the news release,News,US News Data,34,30,PDF,VECTOR
